elapsed_days,departure_time_unix,arrival_time_unix,duration_in_seconds,total_distance,duration_hours,duration_minutes,departure_year,departure_month,departure_day,departure_hour,departure_minute,departure_second,departure_timezone,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,arrival_second,arrival_timezone,flight_id
0,1656550800,1656572340,21540,2458,7,16,2022,6,29,21,0,0,4.0,2022,6,29,23,59,0,7.0,14174
0,1656622800,1656644820,22020,2606,6,7,2022,6,30,17,0,0,4.0,2022,6,30,20,7,0,7.0,14175
0,1656595800,1656606060,10260,992,3,26,2022,6,30,8,30,0,5.0,2022,6,30,10,21,0,6.0,14176
0,1656618420,1656628620,10200,1106,3,35,2022,6,30,15,47,0,4.0,2022,6,30,17,37,0,5.0,14177
0,1656632460,1656636720,4260,183,1,29,2022,6,30,18,41,0,5.0,2022,6,30,19,52,0,5.0,14178
0,1656694200,1656701640,7440,667,3,26,2022,7,1,12,50,0,4.0,2022,7,1,14,54,0,4.0,14179
0,1656669600,1656676380,6780,596,3,10,2022,7,1,6,0,0,4.0,2022,7,1,7,53,0,4.0,14180
1,1656764100,1656770700,6600,541,2,26,2022,7,2,8,15,0,4.0,2022,7,2,10,5,0,4.0,14181
1,1656736800,1656755640,18840,2426,6,58,2022,7,1,21,40,0,7.0,2022,7,2,5,54,0,4.0,14182
0,1656765900,1656775680,9780,923,3,37,2022,7,2,8,45,0,4.0,2022,7,2,11,28,0,4.0,14183
0,1656872880,1656881280,8400,725,3,59,2022,7,3,14,28,0,4.0,2022,7,3,15,48,0,5.0,14184
0,1656892500,1656899820,7320,650,3,29,2022,7,3,18,55,0,5.0,2022,7,3,19,57,0,6.0,14185
0,1656898200,1656903240,5040,185,2,17,2022,7,3,21,30,0,4.0,2022,7,3,22,54,0,4.0,14186
0,1656871080,1656884400,13320,1380,5,9,2022,7,3,13,58,0,4.0,2022,7,3,16,40,0,5.0,14187
0,1656892500,1656899820,7320,650,2,49,2022,7,3,18,55,0,5.0,2022,7,3,19,57,0,6.0,14188
