Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz database time zone,Type,airport_id
Fond du Lac County Airport,Fond du Lac,United States,FLD,KFLD,43.771198272700005,-88.48840332030001,808,-6.0,A,America/Chicago,airport,6300
Waupaca Municipal Airport,Waupaca,United States,\N,KPCZ,44.33330154,-89.01979828,840,-6.0,A,America/Chicago,airport,6301
Stevens Point Municipal Airport,Stevens Point,United States,STE,KSTE,44.5452003479,-89.53029632568399,1110,-6.0,A,America/Chicago,airport,6302
Mys Shmidta Airport,Mys Shmidta,Russia,\N,UHMI,68.86830139160156,-179.3730010986328,20,12.0,N,Asia/Anadyr,airport,6303
Moma Airport,Honuu,Russia,MQJ,UEMA,66.450861,143.261551,656,11.0,N,Asia/Srednekolymsk,airport,6304
Luce County Airport,Newberry,United States,\N,KERY,46.31119918823242,-85.4572982788086,869,-5.0,A,America/New_York,airport,6305
Peenemünde Airport,Peenemunde,Germany,PEF,EDCP,54.1577796936,13.774443626399998,7,1.0,E,Europe/Berlin,airport,6306
Góraszka Airport,Goraszka,Poland,\N,EPGO,52.18444061279297,21.281110763549805,361,1.0,E,Europe/Warsaw,airport,6307
Nusawiru Airport,Nusawiru,Indonesia,CJN,WI1A,-7.719894999999999,108.488995,16,7.0,N,Asia/Jakarta,airport,6308
Galion Municipal Airport,Galion,United States,GQQ,KGQQ,40.7533988953,-82.7238006592,1224,-5.0,A,America/New_York,airport,6309
Tiputini Airport,Tiputini,Ecuador,TPN,SETI,-0.7761110067367554,-75.52639770507812,997,-5.0,S,America/Guayaquil,airport,6310
Rio Amazonas Airport,Pastaza,Ecuador,PTZ,SESM,-1.5052399635299998,-78.0626983643,3465,-5.0,S,America/Guayaquil,airport,6311
Clarksville–Montgomery County Regional Airport,Clarksville,United States,CKV,KCKV,36.6218986511,-87.41500091549999,550,-6.0,A,America/Chicago,airport,6312
Lompoc Airport,Lompoc,United States,LPC,KLPC,34.665599823,-120.468002319,88,-8.0,A,America/Los_Angeles,airport,6313
Chester County G O Carlson Airport,Coatesville,United States,CTH,KMQS,39.97900009,-75.86550140000001,660,-5.0,A,America/New_York,airport,6314
