,,,,,,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,# of TRUE,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",,,,,,,,,,,,,,,,,,
Last updated: 2023-02-07,,,,, Quick Manual Check (enter values in yellow cells) ,B,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,120,55.00,,,,,25.00,12.00,,,,,,,,,,,,,,,,,,
Data not verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, Equations for TDG hidden columns J to R--> ,,,,,,,,,, <-- Equations for TDG hidden columns J to R ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From IACO,From TFMSC,,,,,,,,,,,,,
Date Completed,Manufacturer,ICAO Code,Model,Physical Class (Engine),# Engines,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,Only one TRUE?,"Approach Speed, Vref
(Vref = 1.3 * Vso)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Config,Wake Category,ATCT Weight Class,Years Manufactured,Note,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC52,520 Twin Commander,Piston,2,A,II,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,64,49.04,no winglets,36.81,14.50,13.98,13.98,12.92,"5,700","5,700",S,L,tbd,tbd,n/a,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC56,560 and 560-A Twin Commander,Piston,2,A,II,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,82,49.04,no winglets,36.81,14.50,13.98,13.98,12.92,"6,000","6,000",S,L,tbd,tbd,a 560-A,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC56,560-E Commander,Piston,2,A,II,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,51.71,no winglets,36.81,14.50,13.98,13.98,12.92,"6,500","6,500",S,L,tbd,tbd,same as 560 except > WS,,,,,,,,,,,
,Aero Commander Aircraft,AC56,560-F Commander,Piston,2,A,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,49.04,no winglets,,,16.71,16.71,15.42,"7,500","7,500",S,L,tbd,tbd,680- E,,,,,,,,,,,
,Aero Commander Aircraft,AC68,680 Commander,Piston,2,A,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,49.04,no winglets,,,16.71,16.71,15.42,"7,000","7,000",S,L,tbd,tbd,a 560-A,,,,,,,,,,,
,Aero Commander Aircraft,AC68,680-E Commander,Piston,2,A,II,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,51.71,no winglets,24.20,,13.98,13.98,12.92,"7,500","7,500",S,L,tbd,tbd,,,,,,,,,,,,
,Aero Commander Aircraft,AC68,680-F Commander,Piston,2,A,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,49.04,no winglets,,,16.71,16.71,15.42,"8,000","8,000",S,L,tbd,tbd,a 560-E but with 500 lbs lower and 560-A undercarriage,,,,,,,,,,,
,Aero Commander Aircraft,AC6L,"680-FL Grand Commander and 680-FL(P) Pressurized Grant Commander (in 1969 the FL(P) was dropped from production and FL aircraft named ""Courser"")",Piston,2,A,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,77,49.04,no winglets,stretched 680F,,16.71,16.71,15.42,"8,500","8,500",S,L,tbd,tbd,FL is a stretched F,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC80,680-T Turbo Commander,Turboprop,2,B,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,98,44.06,no winglets,41.48,14.50,16.71,16.71,12.92,"8,950","9,000",S,L,tbd,tbd,,,,,,,,,,,,
2018-Jun-29,Aero Commander Aircraft,AC80,680-V Turbo Commander,Turboprop,2,B,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,98,44.06,no winglets,41.48,14.50,16.71,16.71,12.92,"9,400","9,450",S,L,tbd,tbd,,,,,,,,,,,,
