,,,,,,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,# of TRUE,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",,,,,,,,,,,,,,,,,,
Last updated: 2023-02-07,,,,, Quick Manual Check (enter values in yellow cells) ,B,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,120,55.00,,,,,25.00,12.00,,,,,,,,,,,,,,,,,,
Data not verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, Equations for TDG hidden columns J to R--> ,,,,,,,,,, <-- Equations for TDG hidden columns J to R ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,From IACO,From TFMSC,,,,,,,,,,,,,
Date Completed,Manufacturer,ICAO Code,Model,Physical Class (Engine),# Engines,AAC,ADG,TDG,1A,1B,2A,2B,3,4,5,6,Only one TRUE?,"Approach Speed, Vref
(Vref = 1.3 * Vso)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Config,Wake Category,ATCT Weight Class,Years Manufactured,Note,,,,,,,,,,,
,Grumman,GLF2,G-1159 Gulfstream 2,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Grumman,G159,G-159 Gulfstream 1,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Grumman,G164,G-164 Ag-Cat,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Grumman,G64T,G-164 Turbo Ag-Cat,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Grumman,G21,G-21A Goose,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Grumman,F3F,G-32 Replica,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Grumman,TBM,G-40 Avenger,Piston,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,Large Commuter Eqpt,tbd,,,,,,,,,,,,
,Grumman,G44,G-44 Widgeon,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Grumman,,G-44 Widgeon,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,G73,G-73 Mallard,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Grumman,G73T,G-73T Turbo Mallard,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Grumman,G96,G-96 Trader,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Grumman,,Grumman C-2 Greyhound,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,,Grumman F6F Hellcat,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,,Grumman G.21 Goose,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,,Grumman G21T Turbogoose,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,,Grumman G-73T Turbo Mallard,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,,Grumman Mallard,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,,Grumman RV-1 Mohawk,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,,Grumman TE-2 Hawkeye,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Grumman,V1,OV-1 Mohawk,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Grumman,S2P,S-2 Tracker,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Grumman,S2T,S-2 Turbo Tracker,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Grumman,TBM,TBF Avenger,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
2018-Jun-5,Grumman American,AA5,AA-5 Traveler,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,68,31.42,no winglets,22.00,8.00,tbd,tbd,tbd,"2,200","2,200",S,L,Small Eqpt,1972-75,,,,,,,,,,,,
2018-Jun-5,Grumman American,AA5,AA-5B Tiger,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,68,31.42,no winglets,22.00,8.00,tbd,tbd,tbd,"2,400","2,400",S,L,Small Eqpt,1975-79,,,,,,,,,,,,
2018-Jun-5,Grumman American,GA7,GA-7 Cougar,Piston,2,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,82,36.83,no winglets,28.67,10.33,tbd,tbd,tbd,"3,800","3,800",S,L,Small Eqpt,tbd,,,,,,,,,,,,
2018-Jun-5,Grumman American (Tiger Aircraft),AA5,AG-5B Tiger,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,69,31.42,no winglets,22.00,7.67,tbd,tbd,tbd,"2,400","2,400",S,L,Small Eqpt,1990-93,,,,,,,,,,,,
2018-Jun-5,Grumman American Aviation Corp,AA1,AA-1B Trainer and TR-2,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,68,24.42,no winglets,19.17,7.50,tbd,tbd,tbd,"1,560","1,560",S,L,Small Eqpt,1973-76,,,,,,,,,,,,
,Gulfstream,,Jetprop Commander 1000,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream (Grumman Aircraft Engineering),tbd,"Gulfstream I (G-I), model G-159",Turboprop,2,B,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,113,78.50,no winglets,63.75,22.75,28.69,28.69,15.70,"36,000","36,000",D,tbd,tbd,tbd,,,,,,,,,,,,
2018-Feb-21,Gulfstream (Gulfstream Aerospace Corp.),GLF4,G300,Jet,2,D,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,150,77.83,winglets,88.33,24.42,38.10,38.10,15.67,"72,000","72,000",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2018-Feb-21,Gulfstream (Gulfstream Aerospace Corp.),GLF4,Gulfstream IV,Jet,2,D,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,150,77.83,winglets,88.33,24.42,38.10,38.10,15.67,"73,200","73,200",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2018-May-25,Gulfstream (Gulfstream Aerospace Corp.),GLF4,"Gulfstream IV-SP, G400",Jet,2,D,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,150,77.83,winglets,88.33,24.42,38.10,38.10,15.67,"74,600","75,000",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream (Gulfstream American Corp.),tbd,"Gulfstream IC (G-IC), model G-159C",Turboprop,2,B,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,113,78.50,no winglets,75.33,23.00,33.90,33.90,15.70,"36,000","36,000",D,tbd,tbd,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream (Gulfstream American Corp.),GLF2,"Gulfstream II (G-II), model G-1159",Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,68.83,no winglets,79.92,24.50,35.96,35.96,13.77,"64,800","65,300",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream (Gulfstream American Corp.),GLF2,Gulfstream IIB (G-IIB is a G-II fitted with a G-III wing),Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,77.83,winglets,79.92,24.50,35.96,35.96,13.77,"69,700","70,200",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream (Gulfstream American Corp.),GLF3,"Gulfstream III (G-III), model G-1159A",Jet,2,C,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,77.83,winglets,83.08,24.42,37.39,37.39,15.57,"69,700","70,200",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream (Gulfstream American Corp.),GLF2,"Gulfstream II-SP (G-II-SP),",Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,68.83,winglets,79.92,24.50,35.96,35.96,13.77,"65,500",same as MTOW?,D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream (Gulfstream American Corp.),GLF2,"Gulfstream IITT (G-IITT), model G-1159",Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,68.83,tip tanks,79.92,24.50,35.96,35.96,13.77,"65,500","66,000",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2023-Jan-24,Gulfstream Aerospace Corp.,GALX,G200 (the IAI Galaxy 1126 rebranded in 2001 as the G200),Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,121,58.08,winglets,62.25,21.42,24.25,24.25,12.03,"35,650","35,800",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream Aerospace Corp.,G280,G280,Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,63.00,winglets,66.83,21.33,30.08,30.08,12.60,"39,600","39,750",D,M,Medium Commuter Eqpt,in production,,,,,,,,,,,,
2018-Feb-21,Gulfstream Aerospace Corp.,GLF4,G350 (less range than its big brother the G450),Jet,2,D,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,145,77.83,winglets,89.33,25.17,38.10,38.10,15.21,"70,900","70,900",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2018-Feb-21,Gulfstream Aerospace Corp.,GLF4,G450,Jet,2,D,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,150,77.83,winglets,89.33,25.17,38.10,38.10,15.21,"73,900","74,300",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2018-Jan-26,Gulfstream Aerospace Corp.,GLF5,G500,Jet,2,D,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,150,86.33,winglets,91.17,25.50,45.00,45.00,15.88,"79,600",tbd,D,M,Medium Commuter Eqpt,in production,,,,,,,,,,,,
2018-Jan-26,Gulfstream Aerospace Corp.,GLF5,G550 (is the newer version of V-SP),Jet,2,D,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,150,93.50,winglets,96.42,25.83,45.00,45.00,15.88,"91,000","91,400",D,M,Medium Commuter Eqpt,in production,,,,,,,,,,,,
2023-Jan-24,Gulfstream Aerospace Corp.,GA6C,G600,Jet,2,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,136,95.00,winglets,96.08,25.25,45.00,45.00,16.00,"94,600",same as MTOW?,D,M,Medium Commuter Eqpt,in production,,,,,,,,,,,,
2016-Sep-6,Gulfstream Aerospace Corp.,GLF6,G650,Jet,2,D,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,145,99.58,winglets,99.75,25.67,45.00,45.00,16.00,"99,600","100,000",D,M,Medium Commuter Eqpt,in production,,,,,,,,,,,,
2016-Sep-6,Gulfstream Aerospace Corp.,tbd,G650ER,Jet,2,D,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,145,99.58,winglets,99.75,25.67,45.00,45.00,16.00,"103,600","104,000",D,M,tbd,in production,,,,,,,,,,,,
2016-Sep-6,Gulfstream Aerospace Corp.,GLF5,Gulfstream V (G-V),Jet,2,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,125,93.33,winglets,95.42,25.75,45.00,45.00,16.00,"90,500","90,900",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2016-Sep-6,Gulfstream Aerospace Corp.,GLF5,Gulfstream V-SP (G-V-SP),Jet,2,C,III,2B,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,125,93.33,winglets,95.42,25.75,45.00,45.00,16.00,"91,000","91,400",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2018-Jan-26,Gulfstream Aerospace Corp. (General Dynamics),ASTR,G100 (the IAI Astra SPX rebranded in 2002 as the G100),Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,130,54.58,winglets,55.58,18.17,24.08,24.08,11.08,"24,650","24,800",D,M,tbd,tbd,,,,,,,,,,,,
2018-Jan-26,Gulfstream Aerospace Corp. (General Dynamics),G150,G150,Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,130,55.58,winglets,56.75,19.08,24.08,24.08,11.08,"26,100","26,250",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2018-Jun-5,Gulfstream American (division of Gulfstream Aerospace),AA1,AA-1C Lynx and T-Cat,Piston,1,A,I,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,69,24.42,no winglets,19.25,7.58,tbd,tbd,tbd,"1,600","1,600",S,L,Small Eqpt,1977-78,,,,,,,,,,,,
,HAL,D228,228,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,ALH,Dhruv,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,HA31,HA-31 Basant,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,HT16,HJT-16 Kiran,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,HT36,HJT-36 Sitara,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,HT32,HPT-32 Deepak,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,HT2,HT-2,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,AR11,HUL-26 Pushpak,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,MG23,MiG-27 Bahadur,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,HAL,LAMA,SA-315 Cheetah / Cheetal / Lancer,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,ALO3,SA-316 / SE-3160 Chetak / Chetan,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAL,JAGR,Shamsher,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,HAMC / Harbin,IL28,H-5,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,HAMC / Harbin,EC20,HC-120,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAMC / Harbin,SH5,SH-5,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,HAMC / Harbin,Y11,Y-11,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAMC / Harbin,Y12,Y-12,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAMC / Harbin,MI4,Z-5,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,HAMC / Harbin,AS65,Z-9 Haitun,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Hamilton,,T-28 Nomair,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Handley Page,JS1,HP-137 Jetstream 1,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Handley Page,JS20,HP-137 Jetstream 200,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Handley Page,JS20,Jetstream 200,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Handley-Page,tbd,HP HERALD,,,A,III,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,88,94.80,,,24.10,tbd,tbd,tbd,"43,000",,,,tbd,tbd,,,,,,,,,,,,
,Harbin,,Y-12,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Harbin,,Y-12F,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Harmon,,Rocket,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,,tbd,tbd,,,,,,,,,,,,
,Hawker,CYGT,Cygnet,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Hawker,FURY,Fury,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Hawker,HIND,Hind,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Hawker,HUNT,Hunter,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Hawker,HURI,Hurricane,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Hawker,FURY,Sea Fury,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Hawker,SHAW,Sea Hawk,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,M,tbd,tbd,,,,,,,,,,,,
,Hawker,HURI,Sea Hurricane,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Hawker Beechcraft,TEX2,CT-156 Harvard 2,,,No Value,No Value,tbd,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,,,,,,tbd,tbd,tbd,,,,L,tbd,tbd,,,,,,,,,,,,
,Hawker Beechcraft,H25C,Hawker 1000 (formerly BAe/HS 125-1000),Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,132,51.33,no winglets,52.75,17.08,26.38,26.38,13.19,"31,000","31,100",D,M,Medium Commuter Eqpt,tbd,,,,,,,,,,,,
2018-Jan-26,Hawker Beechcraft,BE40,"Hawker 400, 400A (formerly Raytheon Beechjet 400A)",Jet,2,C,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,43.50,no winglets,48.42,13.92,19.25,19.25,11.33,"16,100","16,300",S,M,tbd,tbd,,,,,,,,,,,,
2023-Jan-24,Hawker Beechcraft,HA4T,Hawker 4000 (Horizon),Jet,2,B,II,2A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,114,61.75,no winglets,69.17,19.58,34.00,34.00,17.00,"39,500",same as MTOW?,D,M,Small Eqpt,2005-2013,,,,,,,,,,,,
2018-Feb-21,Hawker Beechcraft,BE40,Hawker 400XP (formerly Raytheon Beechjet 400A),Jet,2,C,I,1A,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,43.50,no winglets,48.42,13.92,19.25,19.25,11.33,"16,300","16,500",S,M,tbd,tbd,Jane's 2005-2006 (pg 682),,,,,,,,,,,
,Hawker Beechcraft,H25B,Hawker 700 (aka HS 125-700A),Jet,2,C,I,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,47.00,no winglets,50.50,17.25,21.04,25.00,12.50,"25,500",same as MTOW?,D,M,tbd,1977 - 1983/84,,,,,,,,,,,,
,Hawker Beechcraft,H25B,Hawker 750 (offshoot of 800XP),Jet,2,C,II,1B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,125,51.38,no winglets,51.17,18.08,21.04,21.04,11.17,"28,000","28,120",D,M,tbd,,https://blog.wepushtin.com/blog/understanding-differences-hawker-800-series-aircraft/,,,,,,,,,,,
